{change state, turn}(nselect:0) 	 	 {concentrate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {break}(nselect:0)
{change state, turn}(nselect:0) 	 	 {acidify, acetify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {alkalize, alkalise, alkalify, basify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {ionize, ionise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {ossify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {catalyze, catalyse}(nselect:0)
{change state, turn}(nselect:0) 	 	 {get worse, relapse}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fluctuate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {explode, burst forth, break loose}(nselect:0)
{change state, turn}(nselect:0) 	 	 {die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it}(nselect:0)
{change state, turn}(nselect:0) 	 	 {be born}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cloud over}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carbonize, carbonise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {cool, chill, cool down}(nselect:0)
{change state, turn}(nselect:0) 	 	 {heat, hot up, heat up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {carbonize, carbonise, carburize, carburise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {freeze}(nselect:0)
{change state, turn}(nselect:0) 	 	 {boil}(nselect:0)
{change state, turn}(nselect:0) 	 	 {burn, combust}(nselect:0)
{change state, turn}(nselect:0) 	 	 {emaciate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {Frenchify}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thin}(nselect:0)
{change state, turn}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {solvate}(nselect:0)
{change state, turn}(nselect:0) 	 	 {react}(nselect:0)
{change state, turn}(nselect:0) 	 	 {dissolve, fade out, fade away}(nselect:0)
{change state, turn}(nselect:0) 	 	 {empty, discharge}(nselect:0)
{change state, turn}(nselect:0) 	 	 {fill, fill up}(nselect:0)
{change state, turn}(nselect:0) 	 	 {homogenize, homogenise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {homogenize, homogenise}(nselect:0)
{change state, turn}(nselect:0) 	 	 {curdle, clabber, clot}(nselect:0)
