root(nselect:0) 	 	 Verbo(nselect:0)
{communicator}(nselect:0) 	 	 {asserter, declarer, affirmer, asseverator, avower}(nselect:0)
{communicator}(nselect:0) 	 	 {avower}(nselect:0)
{communicator}(nselect:0) 	 	 {broadcaster}(nselect:0)
{communicator}(nselect:0) 	 	 {conferee}(nselect:0)
{communicator}(nselect:0) 	 	 {conferrer}(nselect:0)
{communicator}(nselect:0) 	 	 {confessor}(nselect:0)
{communicator}(nselect:0) 	 	 {correspondent, letter writer}(nselect:0)
{communicator}(nselect:0) 	 	 {gossip, gossiper, gossipmonger, rumormonger, rumourmonger, newsmonger}(nselect:0)
{communicator}(nselect:0) 	 	 {hisser}(nselect:0)
{communicator}(nselect:0) 	 	 {informant, source}(nselect:0)
{communicator}(nselect:0) 	 	 {laudator, lauder, extoller}(nselect:0)
{communicator}(nselect:0) 	 	 {persuader, inducer}(nselect:0)
{communicator}(nselect:0) 	 	 {popularizer, populariser, vulgarizer, vulgariser}(nselect:0)
{communicator}(nselect:0) 	 	 {promisee}(nselect:0)
{communicator}(nselect:0) 	 	 {promiser, promisor}(nselect:0)
{communicator}(nselect:0) 	 	 {propagandist}(nselect:0)
{communicator}(nselect:0) 	 	 {propagator, disseminator}(nselect:0)
{communicator}(nselect:0) 	 	 {publicist, publicizer, publiciser}(nselect:0)
{communicator}(nselect:0) 	 	 {quoter}(nselect:0)
{communicator}(nselect:0) 	 	 {rambler}(nselect:0)
{communicator}(nselect:0) 	 	 {reporter, newsman, newsperson}(nselect:0)
{communicator}(nselect:0) 	 	 {respondent, responder, answerer}(nselect:0)
{communicator}(nselect:0) 	 	 {roarer, bawler, bellower, screamer, screecher, shouter, yeller}(nselect:0)
{communicator}(nselect:0) 	 	 {sender, transmitter}(nselect:0)
{communicator}(nselect:0) 	 	 {signaler, signaller}(nselect:0)
{communicator}(nselect:0) 	 	 {signer}(nselect:0)
{communicator}(nselect:0) 	 	 {swearer}(nselect:0)
{communicator}(nselect:0) 	 	 {sympathizer, sympathiser, comforter}(nselect:0)
{communicator}(nselect:0) 	 	 {telepathist, thought-reader, mental telepathist, mind reader}(nselect:0)
{communicator}(nselect:0) 	 	 {twaddler}(nselect:0)
{communicator}(nselect:0) 	 	 {waffler}(nselect:0)
{communicator}(nselect:0) 	 	 {warner}(nselect:0)
{communicator}(nselect:0) 	 	 {waver}(nselect:0)
{communicator}(nselect:0) 	 	 {wirer}(nselect:0)
{communicator}(nselect:0) 	 	 {writer, author}(nselect:0)
{communicator}(nselect:0) 	 	 {presenter}(nselect:12)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {worker}(nselect:0)
{worker}(nselect:0) 	 	 {skilled worker, trained worker, skilled workman}(nselect:0)
{skilled worker, trained worker, skilled workman}(nselect:0) 	 	 {official, functionary}(nselect:0)
{official, functionary}(nselect:0) 	 	 {apparatchik}(nselect:0)
{official, functionary}(nselect:0) 	 	 {appointee}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bailiff}(nselect:0)
{official, functionary}(nselect:0) 	 	 {beadle}(nselect:0)
{official, functionary}(nselect:0) 	 	 {bureaucrat, administrative official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {caretaker}(nselect:0)
{official, functionary}(nselect:0) 	 	 {censor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {census taker, enumerator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {church officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {city father}(nselect:0)
{official, functionary}(nselect:0) 	 	 {civil servant}(nselect:0)
{official, functionary}(nselect:0) 	 	 {commissar, political commissar}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller General}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller of the Currency}(nselect:0)
{official, functionary}(nselect:0) 	 	 {diplomat, diplomatist}(nselect:0)
{official, functionary}(nselect:0) 	 	 {elected official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {equerry}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire marshall}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire warden, forest fire fighter, ranger}(nselect:0)
{official, functionary}(nselect:0) 	 	 {hearing examiner, hearing officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {holdover, hangover}(nselect:0)
{official, functionary}(nselect:0) 	 	 {incumbent, officeholder}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Inquisitor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {invalidator, voider, nullifier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {licenser}(nselect:0)
{official, functionary}(nselect:0) 	 	 {macebearer, mace, macer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {mandarin}(nselect:0)
{official, functionary}(nselect:0) 	 	 {notary, notary public}(nselect:0)
{official, functionary}(nselect:0) 	 	 {noticer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {officeholder, officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {agent, federal agent}(nselect:0)
{official, functionary}(nselect:0) 	 	 {provincial}(nselect:0)
{official, functionary}(nselect:0) 	 	 {postmaster general}(nselect:0)
{official, functionary}(nselect:0) 	 	 {proconsul}(nselect:0)
