root(nselect:0) 	 	 Verbo(nselect:0)
{physical property}(nselect:0) 	 	 {unmalleability}(nselect:0)
{physical property}(nselect:0) 	 	 {weight}(nselect:0)
{physical property}(nselect:0) 	 	 {momentum}(nselect:0)
{physical property}(nselect:0) 	 	 {fugacity}(nselect:0)
{physical property}(nselect:0) 	 	 {length}(nselect:0)
{physical property}(nselect:0) 	 	 {mass}(nselect:8)
{mass}(nselect:8) 	 	 {body}(nselect:0)
{mass}(nselect:8) 	 	 {biomass}(nselect:0)
{mass}(nselect:8) 	 	 {critical mass}(nselect:0)
{mass}(nselect:8) 	 	 {rest mass}(nselect:0)
{mass}(nselect:8) 	 	 {relativistic mass}(nselect:0)
{mass}(nselect:8) 	 	 {bulk}(nselect:0)
{mass}(nselect:8) 	 	 {gravitational mass}(nselect:0)
{mass}(nselect:8) 	 	 {inertial mass}(nselect:0)
{mass}(nselect:8) 	 	 {atomic mass, atomic weight, relative atomic mass}(nselect:0)
{mass}(nselect:8) 	 	 {mass energy}(nselect:0)
{mass}(nselect:8) 	 	 {molecular weight, relative molecular mass}(nselect:0)
{mass}(nselect:8) 	 	 {mass defect, mass deficiency}(nselect:0)
{entity}(nselect:0) 	 	 {physical entity}(nselect:0)
{physical entity}(nselect:0) 	 	 {object, physical object}(nselect:0)
{object, physical object}(nselect:0) 	 	 {whole, unit}(nselect:0)
{whole, unit}(nselect:0) 	 	 {living thing, animate thing}(nselect:0)
{living thing, animate thing}(nselect:0) 	 	 {organism, being}(nselect:0)
{organism, being}(nselect:0) 	 	 {person, individual, someone, somebody, mortal, soul}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:0) 	 	 {scientist}(nselect:0)
{scientist}(nselect:0) 	 	 {physicist}(nselect:0)
{physicist}(nselect:0) 	 	 {acoustician}(nselect:0)
{physicist}(nselect:0) 	 	 {biophysicist}(nselect:0)
{physicist}(nselect:0) 	 	 {nuclear physicist}(nselect:0)
{physicist}(nselect:0) 	 	 {Townes, Charles Townes, Charles Hard Townes}(nselect:0)
{physicist}(nselect:0) 	 	 {astronomer, uranologist, stargazer}(nselect:4)
{astronomer, uranologist, stargazer}(nselect:4) 	 	 {astrophysicist}(nselect:0)
{astronomer, uranologist, stargazer}(nselect:4) 	 	 {cosmologist}(nselect:0)
{whole, unit}(nselect:0) 	 	 {natural object}(nselect:0)
{natural object}(nselect:0) 	 	 {celestial body, heavenly body}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {minor planet, planetoid}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {planet, major planet}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {planetesimal}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {primary}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {quasar, quasi-stellar radio source}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {satellite}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {star}(nselect:8)
{star}(nselect:8) 	 	 {binary star, binary, double star}(nselect:0)
{star}(nselect:8) 	 	 {fixed star}(nselect:0)
{star}(nselect:8) 	 	 {giant star, giant}(nselect:0)
{star}(nselect:8) 	 	 {lodestar, loadstar}(nselect:0)
{star}(nselect:8) 	 	 {multiple star}(nselect:0)
{star}(nselect:8) 	 	 {neutron star}(nselect:0)
{star}(nselect:8) 	 	 {nova}(nselect:0)
{star}(nselect:8) 	 	 {red dwarf, red dwarf star}(nselect:0)
{star}(nselect:8) 	 	 {red giant, red giant star}(nselect:0)
{star}(nselect:8) 	 	 {sun}(nselect:0)
{star}(nselect:8) 	 	 {supergiant}(nselect:0)
{star}(nselect:8) 	 	 {supernova}(nselect:0)
{star}(nselect:8) 	 	 {variable star, variable}(nselect:0)
{star}(nselect:8) 	 	 {white dwarf, white dwarf star}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {star}(nselect:0)
{celestial body, heavenly body}(nselect:0) 	 	 {planet}(nselect:6)
{natural object}(nselect:0) 	 	 {cocoon}(nselect:0)
{natural object}(nselect:0) 	 	 {body, organic structure, physical structure}(nselect:0)
{natural object}(nselect:0) 	 	 {body, dead body}(nselect:0)
{natural object}(nselect:0) 	 	 {asterism}(nselect:0)
{natural object}(nselect:0) 	 	 {black body, blackbody, full radiator}(nselect:0)
{natural object}(nselect:0) 	 	 {carpet}(nselect:0)
{natural object}(nselect:0) 	 	 {consolidation}(nselect:0)
{natural object}(nselect:0) 	 	 {constellation}(nselect:0)
{natural object}(nselect:0) 	 	 {covering, natural covering, cover}(nselect:0)
{natural object}(nselect:0) 	 	 {extraterrestrial object, estraterrestrial body}(nselect:0)
{natural object}(nselect:0) 	 	 {mechanism}(nselect:0)
{natural object}(nselect:0) 	 	 {nest}(nselect:0)
{natural object}(nselect:0) 	 	 {radiator}(nselect:0)
{natural object}(nselect:0) 	 	 {rock, stone}(nselect:0)
{natural object}(nselect:0) 	 	 {sample}(nselect:0)
{natural object}(nselect:0) 	 	 {tangle}(nselect:0)
{natural object}(nselect:0) 	 	 {universe, existence, creation, world, cosmos, macrocosm}(nselect:0)
{natural object}(nselect:0) 	 	 {plant part, plant structure}(nselect:0)
{natural object}(nselect:0) 	 	 {body}(nselect:4)
{body}(nselect:4) 	 	 {chromosome}(nselect:0)
{body}(nselect:4) 	 	 {inclusion body, cellular inclusion, inclusion}(nselect:0)
{body}(nselect:4) 	 	 {mass}(nselect:0)
{body}(nselect:4) 	 	 {particle, subatomic particle}(nselect:0)
{physical entity}(nselect:0) 	 	 {causal agent, cause, causal agency}(nselect:0)
{causal agent, cause, causal agency}(nselect:0) 	 	 {person, individual, someone, somebody, mortal, soul}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:0) 	 	 {scientist}(nselect:0)
{scientist}(nselect:0) 	 	 {physicist}(nselect:0)
{physicist}(nselect:0) 	 	 {acoustician}(nselect:0)
{physicist}(nselect:0) 	 	 {biophysicist}(nselect:0)
{physicist}(nselect:0) 	 	 {nuclear physicist}(nselect:0)
{physicist}(nselect:0) 	 	 {Townes, Charles Townes, Charles Hard Townes}(nselect:0)
{physicist}(nselect:0) 	 	 {astronomer, uranologist, stargazer}(nselect:4)
{astronomer, uranologist, stargazer}(nselect:4) 	 	 {astrophysicist}(nselect:0)
{astronomer, uranologist, stargazer}(nselect:4) 	 	 {cosmologist}(nselect:0)

