Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{inform}(nselect:0) 	 	 {denounce, tell on, betray, give away, rat, grass, shit, shop, snitch, stag}(nselect:0)
{inform}(nselect:0) 	 	 {undeceive}(nselect:0)
{inform}(nselect:0) 	 	 {warn}(nselect:0)
{inform}(nselect:0) 	 	 {advise, notify, give notice, send word, apprise, apprize}(nselect:0)
{inform}(nselect:0) 	 	 {familiarize, familiarise, acquaint}(nselect:0)
{inform}(nselect:0) 	 	 {prompt, remind, cue}(nselect:0)
{inform}(nselect:0) 	 	 {volunteer}(nselect:0)
{inform}(nselect:0) 	 	 {introduce, present, acquaint}(nselect:0)
{inform}(nselect:0) 	 	 {regret}(nselect:0)
{inform}(nselect:0) 	 	 {indicate, point, designate, show}(nselect:0)
{inform}(nselect:0) 	 	 {indicate}(nselect:0)
{inform}(nselect:0) 	 	 {indicate, suggest}(nselect:0)
{inform}(nselect:0) 	 	 {nark}(nselect:0)
{inform}(nselect:0) 	 	 {tell, narrate, recount, recite}(nselect:0)
{inform}(nselect:0) 	 	 {narrate}(nselect:0)
{inform}(nselect:0) 	 	 {report, describe, account}(nselect:0)
{inform}(nselect:0) 	 	 {report}(nselect:0)
{inform}(nselect:0) 	 	 {report, cover}(nselect:0)
{inform}(nselect:0) 	 	 {announce, denote}(nselect:0)
{inform}(nselect:0) 	 	 {disabuse}(nselect:0)
{inform}(nselect:0) 	 	 {remonstrate, point out}(nselect:0)
{inform}(nselect:0) 	 	 {testify, bear witness, prove, evidence, show}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {grimace, make a face, pull a face}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {squint, squinch}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {wince}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {frown, glower, lour, lower}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {screw up}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {pout, mop, mow}(nselect:0)
{grimace, make a face, pull a face}(nselect:0) 	 	 {smile}(nselect:1)
{smile}(nselect:1) 	 	 {dimple}(nselect:0)
{smile}(nselect:1) 	 	 {grin}(nselect:0)
{smile}(nselect:1) 	 	 {beam}(nselect:0)
{smile}(nselect:1) 	 	 {smirk, simper}(nselect:0)
{smile}(nselect:1) 	 	 {sneer}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {gesticulate, gesture, motion}(nselect:1)
{gesticulate, gesture, motion}(nselect:1) 	 	 {wink}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {exsert, stretch out, put out, extend, hold out, stretch forth}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {shrug}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {clap, spat}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {bless, sign}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {nod}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {cross oneself}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {bow, bow down}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {shake}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {beckon, wave}(nselect:0)
{gesticulate, gesture, motion}(nselect:1) 	 	 {applaud, clap, spat, acclaim}(nselect:1)
{applaud, clap, spat, acclaim}(nselect:1) 	 	 {bravo}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak, utter, mouth, verbalize, verbalise}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {sing}(nselect:0)
{sing}(nselect:0) 	 	 {place}(nselect:0)
{sing}(nselect:0) 	 	 {troll}(nselect:0)
{sing}(nselect:0) 	 	 {croon}(nselect:0)
{sing}(nselect:0) 	 	 {chant, intone, intonate, cantillate}(nselect:0)
{sing}(nselect:0) 	 	 {yodel, warble, descant}(nselect:0)
{sing}(nselect:0) 	 	 {warble, trill, quaver}(nselect:0)
{sing}(nselect:0) 	 	 {treble}(nselect:0)
{sing}(nselect:0) 	 	 {hum}(nselect:0)
{sing}(nselect:0) 	 	 {belt out, belt}(nselect:0)
{sing}(nselect:0) 	 	 {descant on}(nselect:0)
{sing}(nselect:0) 	 	 {vocalize, vocalise}(nselect:0)
{sing}(nselect:0) 	 	 {harmonize, harmonise}(nselect:0)
{sing}(nselect:0) 	 	 {descant}(nselect:0)
{sing}(nselect:0) 	 	 {sing along}(nselect:0)
{sing}(nselect:0) 	 	 {psalm}(nselect:0)
{sing}(nselect:0) 	 	 {minstrel}(nselect:0)
{sing}(nselect:0) 	 	 {solmizate}(nselect:0)
{sing}(nselect:0) 	 	 {tweedle, chirp}(nselect:0)
{sing}(nselect:0) 	 	 {choir, chorus}(nselect:0)
{sing}(nselect:0) 	 	 {sing}(nselect:1)
{sing}(nselect:1) 	 	 {solmizate}(nselect:0)
{sing}(nselect:1) 	 	 {troll}(nselect:0)
{sing}(nselect:1) 	 	 {hymn}(nselect:0)
{sing}(nselect:1) 	 	 {carol}(nselect:0)
{sing}(nselect:1) 	 	 {madrigal}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {read}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {vocalize, vocalise, phonate}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {troll}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {begin}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {lip off, shoot one's mouth off}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {whisper}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {peep}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {speak up}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {snap, snarl}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {enthuse}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {speak in tongues}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {swallow}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {verbalize, verbalise}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {whiff}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {talk of, talk about}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {blubber, blubber out}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {drone, drone on}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {bumble, stutter, stammer, falter}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {rasp}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {blurt out, blurt, blunder out, blunder, ejaculate}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {tone, inflect, modulate}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {deliver, present}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {generalize, generalise}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {chatter, piffle, palaver, prate, tittle-tattle, twaddle, clack, maunder, prattle, blab, gibber, tattle, blabber, gabble}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {chatter}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {yack, jaw, yack away, rattle on, yap away}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {open up}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {snivel, whine}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {murmur}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {mumble, mutter, maunder, mussitate}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {slur}(nselect:0)
{talk, speak, utter, mouth, verbalize, verbalise}(nselect:0) 	 	 {bark}(nselect:0)
