Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {warm}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {boil}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {freeze}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blister}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {switch, change over, shift}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transpose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {convert, change over}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transmute}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform, transmute, transubstantiate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ash}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {translate, transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {reform, reclaim, regenerate, rectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {convert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Islamize, Islamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {turn back, invert, reverse}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {invert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {customize, customise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {personalize, personalise, individualize, individualise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {depersonalize, depersonalise, objectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sharpen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {flatten, drop}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disintegrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {magnetize, magnetise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demagnetize, demagnetise, degauss}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {simplify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {complicate, refine, rarify, elaborate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {refine}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {complicate, perplex}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {supercharge, pressurize, pressurise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {centralize, centralise, concentrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decentralize, deconcentrate, decentralise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {socialize, socialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fix, prepare, set up, ready, gear up, set}(nselect:1)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {socialize, socialise}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {provide}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {cram}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {precondition}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {fix}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {mount}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {set up, lay out, set}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {winterize, winterise}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {summerize, summerise}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {prime}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {cultivate, crop, work}(nselect:0)
{fix, prepare, set up, ready, gear up, set}(nselect:1) 	 	 {brace, poise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {internationalize, internationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {communize, communise, bolshevize, bolshevise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Europeanize, Europeanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Europeanize, Europeanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bestialize, bestialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Americanize, Americanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Frenchify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {civilize, civilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nationalize, nationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denationalize, denationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {naturalize, naturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denaturalize, denaturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {naturalize, naturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denaturalize, denaturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {even, even out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {stiffen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {loosen, loose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tighten, fasten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transitivize, transitivise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {detransitivize, detransitivise, intransitivize, intransitivise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {full}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {diversify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decelerate, slow down}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deaden}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {accelerate, speed, speed up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {check, retard, delay}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decrease, lessen, minify}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {suppress}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {mitigate}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {pare, pare down}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {limit, circumscribe, confine}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {reduce, boil down, concentrate}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {shrink, reduce}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {abridge, foreshorten, abbreviate, shorten, cut, contract, reduce}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {slake, abate, slack}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {turn down, lower, lour}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {de-escalate, weaken, step down}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {reduce, cut down, cut back, trim, trim down, trim back, cut, bring down}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {cut}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {slack, slacken, slack up, relax}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {diminish, belittle}(nselect:0)
{decrease, lessen, minify}(nselect:0) 	 	 {minimize, minimise}(nselect:1)
{minimize, minimise}(nselect:1) 	 	 {hedge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {liquefy, liquify, liquidize, liquidise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {solvate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dissolve}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {validate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {invalidate, void, vitiate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {empty}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fill, fill up, make full}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {clutter, clutter up}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {clog, overload}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {brim}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {farce, stuff}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {stuff}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {pad, bolster}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {populate}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {top off}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {heap}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {overfill}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {ink}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {replenish, refill, fill again}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {prime}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {line}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {impregnate, saturate}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {impregnate, infuse, instill, tincture}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {electrify}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {lubricate, lube}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {surcharge}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {load, lade, laden, load up}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {load, charge}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {deluge, flood, inundate, swamp}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {pack}(nselect:0)
{fill, fill up, make full}(nselect:0) 	 	 {complete}(nselect:2)
{change, alter, modify}(nselect:0) 	 	 {saturate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clot, coagulate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {louden}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {normalize, normalise, renormalize, renormalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {morph}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {neutralize, neutralise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {commercialize, commercialise, market}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {purify, purge, sanctify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mechanize, mechanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {automatize, automatise, automate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {automatize, automatise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mechanize, mechanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {harmonize, harmonise, chord}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {polarize, polarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {glorify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {contaminate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {devalue}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {insulate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {calcify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {urbanize, urbanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {urbanize, urbanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {emulsify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demulsify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decarboxylate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nazify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fertilize, fecundate, fertilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clarify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {embrittle}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mark}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nick}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disable, disenable, incapacitate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {enable}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {de-emphasize, de-emphasise, destress}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tender, tenderize, tenderise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {charge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bubble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sweeten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {iodinate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ionate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {archaize, archaise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {officialize, officialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {occidentalize, occidentalise, westernize, westernise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {orientalize, orientalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {acetylate, acetylize, acetylise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {achromatize, achromatise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {parallel, collimate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {camp}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {classicize, classicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {conventionalize, conventionalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decimalize, decimalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dizzy}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {poison, envenom}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {exteriorize, exteriorise, externalize, externalise, objectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {glamorize, glamourise, glamourize, glamorise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {introvert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {laicize, laicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {politicize, politicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {radicalize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {proof}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {romanticize, romanticise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rusticate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sauce}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shallow, shoal}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tense}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {steepen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {scramble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unscramble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unsex}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vitrify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {pall}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {saponify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {extend, expand}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {suspend, set aside}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {muddy}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lift, raise, elevate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {harshen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dinge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demonize, demonise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {devilize, devilise, diabolize, diabolise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {etherealize, etherialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {immaterialize, immaterialise, unsubstantialize, unsubstantialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {animize, animise, animate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clear}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dynamize, dynamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dynamize, dynamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rarefy, sublimate, subtilize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {volatilize, volatilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {uniformize, uniformise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {symmetrize, symmetrise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {immortalize, immortalise, eternize, eternise, eternalize, eternalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sanitize, sanitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {verbify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shift}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sputter}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {draw}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {make}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dope}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {prostrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {excite}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {excite, energize, energise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shake}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {outmode}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {spice, spice up}(nselect:1)
{spice, spice up}(nselect:1) 	 	 {salt}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shorten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {think}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {make}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deflate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inflate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {reflate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {digitize, digitise, digitalize, digitalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {gelatinize, gelatinise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {recombine}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {feminize, feminise, effeminize, effeminise, womanize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {masculinize, masculinise, virilize, virilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {masculinize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disharmonize, dissonate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sexualize, sexualise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {schematize, schematise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {patent}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {constitutionalize, constitutionalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rationalize, rationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {plasticize, plasticise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rarefy}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {paganize, paganise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {incandesce}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deaminate, deaminize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {angulate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {circularize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sensitize, sensitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sensitize, sensitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {depolarize, depolarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {intensify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {isomerize, isomerise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {legitimate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {evaporate, vaporise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {industrialize, industrialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {opacify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {opsonize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {militarize, militarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nationalize, nationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {recommend}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sentimentalize, sentimentalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {solemnize, solemnise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {territorialize, territorialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transaminate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transfigure, glorify, spiritualize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unsanctify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vesiculate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {visualize, visualise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {variegate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ventilate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vivify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vulgarise, vulgarize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {supple}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {professionalize, professionalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {smut}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {still}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {weaponize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {eroticize, sex up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {piggyback}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {port}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lifehack}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cloud}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {confuse, blur, obscure, obnubilate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tone down, moderate, tame}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {obfuscate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {synchronize, synchronise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mince, soften, moderate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {militarize, militarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {break down, crush}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fatten, fat, flesh out, fill out, plump, plump out, fatten out, fatten up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {touch, disturb}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dull}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dull, blunt}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sharpen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {coarsen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {untie, undo, loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {barb}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {string}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {straighten, straighten out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bring}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mix, mingle, commix, unify, amalgamate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {charge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {put}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clean, make clean}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dirty, soil, begrime, grime, colly, bemire}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lower, depress}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {break, break up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {alter}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decorate, adorn, grace, ornament, embellish, beautify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {humanize, humanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {humble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {estrange, alienate, alien, disaffect}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {right}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {desensitize, desensitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deodorize, deodorise, deodourise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {develop}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blur}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blind}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {change intensity}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {change taste}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {substitute, replace, interchange, exchange}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {capture}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lend, impart, bestow, contribute, add, bring}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {liberalize, liberalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {right, compensate, redress, correct}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {democratize, democratise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {neutralize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {corrupt, pervert, subvert, demoralize, demoralise, debauch, debase, profane, vitiate, deprave, misdirect}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {relax, loosen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unite, unify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {flocculate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {turn}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cohere}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {better, improve, amend, ameliorate, meliorate}(nselect:1)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {relieve, alleviate, palliate, assuage}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {help, aid}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {regenerate, revitalize}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {enrich}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {build up, develop}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {turn around}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {help}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {upgrade}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {condition}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {emend}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {iron out, straighten out, put right}(nselect:0)
{better, improve, amend, ameliorate, meliorate}(nselect:1) 	 	 {enhance}(nselect:0)
