Verbo(nselect:0) 	 	 {record, register}(nselect:4)
{tell}(nselect:0) 	 	 {repeat, reiterate, ingeminate, iterate, restate, retell}(nselect:0)
{tell}(nselect:0) 	 	 {propagandize, propagandise}(nselect:0)
{tell}(nselect:0) 	 	 {announce, annunciate, harbinger, foretell, herald}(nselect:0)
{tell}(nselect:0) 	 	 {impart, leave, give, pass on}(nselect:0)
{tell}(nselect:0) 	 	 {publicize, publicise, air, bare}(nselect:1)
{publicize, publicise, air, bare}(nselect:1) 	 	 {hype}(nselect:0)
{publicize, publicise, air, bare}(nselect:1) 	 	 {bulletin}(nselect:0)
{publicize, publicise, air, bare}(nselect:1) 	 	 {publish, bring out, put out, issue, release}(nselect:0)
{publicize, publicise, air, bare}(nselect:1) 	 	 {circulate, circularize, circularise, distribute, disseminate, propagate, broadcast, spread, diffuse, disperse, pass around}(nselect:0)
{publicize, publicise, air, bare}(nselect:1) 	 	 {air, send, broadcast, beam, transmit}(nselect:0)
{inform}(nselect:4) 	 	 {tell, narrate, recount, recite}(nselect:0)
{inform}(nselect:4) 	 	 {narrate}(nselect:0)
{inform}(nselect:4) 	 	 {report, describe, account}(nselect:0)
{inform}(nselect:4) 	 	 {report}(nselect:0)
{inform}(nselect:4) 	 	 {report, cover}(nselect:0)
{inform}(nselect:4) 	 	 {announce, denote}(nselect:0)
{inform}(nselect:4) 	 	 {disabuse}(nselect:0)
{inform}(nselect:4) 	 	 {remonstrate, point out}(nselect:0)
{inform}(nselect:4) 	 	 {testify, bear witness, prove, evidence, show}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {grimace, make a face, pull a face}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {yak, gab}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {fingerspell, finger-spell}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {aphorize, aphorise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {riddle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {project}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {reach, get through, get hold of, contact}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {inflict, bring down, visit, impose}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {commune}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {ask, inquire, enquire}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telecommunicate}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {joke, jest}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {blog}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {greet}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {address, turn to}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {nod}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak, utter, mouth, verbalize, verbalise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {talk, speak}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {speak, talk}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {gesticulate, gesture, motion}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telepathize, telepathise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {radio}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {network}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign, signal, signalize, signalise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {semaphore}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {whistle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, throw}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, pay}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, render}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {carry, convey, express}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {issue}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {come across, come over}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {share}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {get}(nselect:0)
Verbo(nselect:0) 	 	 {get the better of, overcome, defeat}(nselect:0)
{get the better of, overcome, defeat}(nselect:0) 	 	 {beat, beat out, crush, shell, trounce, vanquish}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {outpoint, outscore}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {walk over}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {eliminate}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {worst, pip, mop up, whip, rack up}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {whomp}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {get the best, have the best, overcome}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {spread-eagle, spreadeagle, rout}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {get the jump}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {cheat, chouse, shaft, screw, chicane, jockey}(nselect:0)
{beat, beat out, crush, shell, trounce, vanquish}(nselect:0) 	 	 {overcome, get over, subdue, surmount, master}(nselect:0)
