root(nselect:0) 	 	 Verbo(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller General}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Comptroller of the Currency}(nselect:0)
{official, functionary}(nselect:0) 	 	 {diplomat, diplomatist}(nselect:0)
{official, functionary}(nselect:0) 	 	 {elected official}(nselect:0)
{official, functionary}(nselect:0) 	 	 {equerry}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire marshall}(nselect:0)
{official, functionary}(nselect:0) 	 	 {fire warden, forest fire fighter, ranger}(nselect:0)
{official, functionary}(nselect:0) 	 	 {hearing examiner, hearing officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {holdover, hangover}(nselect:0)
{official, functionary}(nselect:0) 	 	 {incumbent, officeholder}(nselect:0)
{official, functionary}(nselect:0) 	 	 {Inquisitor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {invalidator, voider, nullifier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {judge, justice, jurist}(nselect:11)
{judge, justice, jurist}(nselect:11) 	 	 {alcalde}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {chief justice}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {Daniel}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {doge}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {justiciar, justiciary}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {magistrate}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {ordinary}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {praetor, pretor}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {qadi}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {recorder}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {trial judge}(nselect:0)
{judge, justice, jurist}(nselect:11) 	 	 {trier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {licenser}(nselect:0)
{official, functionary}(nselect:0) 	 	 {macebearer, mace, macer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {mandarin}(nselect:0)
{official, functionary}(nselect:0) 	 	 {notary, notary public}(nselect:0)
{official, functionary}(nselect:0) 	 	 {noticer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {officeholder, officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {agent, federal agent}(nselect:0)
{official, functionary}(nselect:0) 	 	 {provincial}(nselect:0)
{official, functionary}(nselect:0) 	 	 {postmaster general}(nselect:0)
{official, functionary}(nselect:0) 	 	 {proconsul}(nselect:0)
{official, functionary}(nselect:0) 	 	 {quaestor}(nselect:0)
{official, functionary}(nselect:0) 	 	 {recruiter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {registrar, record-keeper, recorder}(nselect:0)
{registrar, record-keeper, recorder}(nselect:0) 	 	 {rapporteur}(nselect:15)
{official, functionary}(nselect:0) 	 	 {regulator}(nselect:0)
{official, functionary}(nselect:0) 	 	 {returning officer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {sealer}(nselect:0)
{official, functionary}(nselect:0) 	 	 {searcher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {teller, vote counter}(nselect:0)
{official, functionary}(nselect:0) 	 	 {town clerk}(nselect:0)
{official, functionary}(nselect:0) 	 	 {usher, doorkeeper}(nselect:0)
{official, functionary}(nselect:0) 	 	 {vizier}(nselect:0)
{official, functionary}(nselect:0) 	 	 {weigher}(nselect:0)
{official, functionary}(nselect:0) 	 	 {prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {district attorney, DA}(nselect:0)
{prosecutor, public prosecutor, prosecuting officer, prosecuting attorney}(nselect:5) 	 	 {state's attorney, state attorney}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {adult, grownup}(nselect:0)
{adult, grownup}(nselect:0) 	 	 {professional, professional person}(nselect:0)
{professional, professional person}(nselect:0) 	 	 {lawyer, attorney}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {advocate, counsel, counselor, counsellor, counselor-at-law, pleader}(nselect:0)
{lawyer, attorney}(nselect:0) 	 	 {ambulance chaser}(nselect:0)
